"","Date","DateTime","isCar","Municipality_Code","Reason","Weekday","Temperature","Precipitation","Holidays","Christmas_Holidays","Sport_Holidays","Easter_Holidays","Summer_Holidays","Autumn_Holidays","Count"
"4124",2015-09-16,2015-09-16 22:59:00,"1","0181","Other Reason","onsdag",14.7,3.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4125",2015-09-17,2015-09-17 00:16:00,"1","0180","Arson","torsdag",16.5,8.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4126",2015-09-17,2015-09-17 02:22:00,"1","0126","Other Reason","torsdag",16.2,9.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4127",2015-09-17,2015-09-17 21:09:00,"0","0180","Other Reason","torsdag",16.5,8.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4128",2015-09-17,2015-09-17 21:54:00,"1","0138","Other Reason","torsdag",16.1,10.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4129",2015-09-19,2015-09-19 01:20:00,"1","0127","Other Reason","lördag",13.6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4130",2015-09-19,2015-09-19 02:59:00,"1","0182","Other Reason","lördag",13.4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4131",2015-09-19,2015-09-19 20:46:00,"1","0181","Other Reason","lördag",13.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4132",2015-09-20,2015-09-20 04:08:00,"1","0180","Arson","söndag",11.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4133",2015-09-20,2015-09-20 09:28:00,"1","0180","Arson","söndag",11.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4134",2015-09-20,2015-09-20 22:55:00,"1","0127","Arson","söndag",10.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4135",2015-09-20,2015-09-20 23:04:00,"1","0163","Arson","söndag",11.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4136",2015-09-21,2015-09-21 08:57:00,"0","0188","Technical Malfunctioning","måndag",11,2.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4137",2015-09-21,2015-09-21 10:34:00,"1","0138","Other Reason","måndag",11.2,2.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
